Ticker	Mean Sentiment
PAYC	0.05
PAYX	0.11
PCAR	0.1
PCG	0.17
PEG	0.07
PEP	0.07
PFE	0.09
PFG	0.22
PFG	0.22
PG	0.2
PGR	0.21
PH	0.13
PHM	0.17
PKG	0.04
PLD	0.13
PM	0.07
PNC	0.03
PNR	0.13
PNW	0.12
PODD	0.12
POOL	0.13
PPG	0.13
PPL	0.15
PRU	0.25
PSA	0.08
PSX	0.08
PTC	0.13
PTC	0.13
PWR	0.12
PXD	0.29
PYPL	0.09
QCOM	0.16
QRVO	0.11
RCL	0.13
REG	0.08
REGN	0.18
RF	0.12
RHI	0.21
RJF	0.09
RJF	0.09
RL	0.18
RMD	0.16
ROK	0.18
ROL	0.13
ROP	0.15
ROST	0.13
RSG	0.11
RTX	0.14
RVTY	0.01
SBAC	0.14
SBUX	0.15
SCHW	0.14
SHW	0.2
SJM	0.13
SLB	0.13
SNA	0.2
SNPS	0.11
SO	0.17
SPG	0.14
SPG	0.14
SPGI	0.14
SRE	0.2
STE	0.1
STLD	0.28
STT	0.04
STX	0.06
STZ	0.14
STZ	0.14
SWK	0.11
SWKS	0.16
SYF	0.21
SYK	0.16
SYY	0.18
T	0.06
TAP	0.09
TDG	0.13
TDY	0.12
TECH	0.1
TEL	0.13
TER	0.13
TFC	0.08
TFX	0.1
TGT	0.13
TGT	0.13
TJX	0.16
TMO	0.19
TMUS	0.2
TPR	0.14
TRGP	0.13
TRGP	0.13
TRMB	0.17
TROW	0.16
TRV	0.15
TSCO	0.15
TSLA	0.03
TSN	0.05
TT	0.17
TTWO	0.13
TXN	0.07
TXT	0.19
TYL	0.17
TYL	0.17
UAL	0.21
UAL	0.21
UBER	0.15
UDR	0.05
UHS	0.16
ULTA	0.44
UNH	0.09
UNP	0.12
UPS	0.07
UPS	0.07
URI	0.38
USB	0.21
V	0.21
VFC	0.09
VICI	0.17
VLO	0.22
VLTO	0.05
VMC	0.17
VRSK	0.09
VRSN	0.14
VRTX	0.16
VTR	0.08
VTRS	0.17
VZ	0.18
WAB	0.11
WAT	0.09
WBA	0.11
WBD	0.03
WDC	0.07
WEC	0.29
WEC	0.29
WELL	0.13
WFC	0.18
WHR	0.15
WM	-0.07
WMB	0.13
WMT	0.07
WRB	0.2
WRK	0.13
WST	0.09
WTW	0.1
WY	0.09
WYNN	0.1
XEL	0.26
XOM	0.13
XOM	0.13
XRAY	0.1
XYL	0.14
YUM	0.06
ZBH	0.14
ZBRA	0.16
ZION	0.04
ZION	0.04
ZTS	0.2
